Time[s], Channel 0
0.00000, 0
0.06961, 1
0.06963, 0
0.06964, 1
0.06968, 0
0.06969, 1
0.06971, 0
0.06972, 1
0.06973, 0
0.06974, 1
0.06976, 0
0.06977, 1
0.06979, 0
0.06980, 1
0.06981, 0
0.06982, 1
0.06984, 0
0.06985, 1
0.06989, 0
0.06990, 1
0.06992, 0
0.06993, 1
0.06994, 0
0.06995, 1
0.06997, 0
0.06998, 1
0.07000, 0
0.07001, 1
0.07002, 0
0.07003, 1
0.07005, 0
0.07006, 1
0.07008, 0
0.07009, 1
0.07010, 0
0.07011, 1
0.07013, 0
0.07014, 1
0.07018, 0
0.07019, 1
0.07021, 0
0.07022, 1
0.07026, 0
0.07027, 1
0.07029, 0
0.07030, 1
0.07031, 0
0.07032, 1
0.07034, 0
0.07035, 1
0.07037, 0
0.07038, 1
0.07039, 0
0.07040, 1
0.07042, 0
0.07043, 1
0.07047, 0
0.07048, 1
0.07050, 0
0.07051, 1
0.07052, 0
0.07053, 1
0.07055, 0
0.07056, 1
0.07058, 0
0.07059, 1
0.07060, 0
0.07061, 1
0.07063, 0
0.07064, 1
0.07066, 0
0.07067, 1
0.07068, 0
0.07069, 1
0.07071, 0
0.07072, 1
0.07076, 0
0.07077, 1
0.07079, 0
0.07080, 1
0.07081, 0
0.07082, 1
0.07084, 0
0.07085, 1
0.07087, 0
0.07088, 1
0.07089, 0
0.07090, 1
0.07092, 0
0.07093, 1
0.07095, 0
0.07096, 1
0.07097, 0
0.07098, 1
0.07100, 0
0.07101, 1
0.07105, 0
0.07106, 1
0.07108, 0
0.07109, 1
0.07110, 0
0.07111, 1
0.07113, 0
0.07114, 1
0.07116, 0
0.07117, 1
0.07118, 0
0.07119, 1
0.07121, 0
0.07122, 1
0.07124, 0
0.07125, 1
0.07126, 0
0.07127, 1
0.07129, 0
0.07130, 1
0.07134, 0
0.07135, 1
0.07137, 0
0.07138, 1
0.07139, 0
0.07140, 1
0.07142, 0
0.07143, 1
0.07145, 0
0.07146, 1
0.07150, 0
0.07151, 1
0.07153, 0
0.07154, 1
0.07155, 0
0.07156, 1
0.07158, 0
0.07159, 1
0.07163, 0
0.07164, 1
0.07166, 0
0.07167, 1
0.07171, 0
0.07172, 1
0.07174, 0
0.07175, 1
0.07176, 0
0.07177, 1
0.07179, 0
0.07180, 1
0.07182, 0
0.07183, 1
0.07184, 0
0.07185, 1
0.07187, 0
0.07188, 1
0.07192, 0
0.07193, 1
0.07195, 0
0.07196, 1
0.07197, 0
0.07198, 1
0.07200, 0
0.07201, 1
0.07203, 0
0.07204, 1
0.07205, 0
0.07206, 1
0.07208, 0
0.07209, 1
0.07211, 0
0.07212, 1
0.07213, 0
0.07214, 1
0.07216, 0
0.07217, 1
0.07221, 0
0.07222, 1
0.07224, 0
0.07225, 1
0.07229, 0
0.07230, 1
0.07232, 0
0.07233, 1
0.07234, 0
0.07235, 1
0.07237, 0
0.07238, 1
0.07240, 0
0.07241, 1
0.07242, 0
0.07243, 1
0.07245, 0
0.07246, 1
0.07250, 0
0.07251, 1
0.07253, 0
0.07254, 1
0.07258, 0
0.07259, 1
0.07261, 0
0.07262, 1
0.07263, 0
0.07264, 1
0.07266, 0
0.07267, 1
0.07269, 0
0.07270, 1
0.07271, 0
0.07272, 1
0.07274, 0
0.07275, 1
0.07277, 0
0.07278, 1
0.07279, 0
0.07280, 1
0.07282, 0
0.07283, 1
0.07287, 0
0.07288, 1
0.07290, 0
0.07291, 1
0.07292, 0
0.07293, 1
0.07295, 0
0.07296, 1
0.07298, 0
0.07299, 1
0.07300, 0
0.07301, 1
0.07303, 0
0.07304, 1
0.07306, 0
0.07307, 1
0.07308, 0
0.07309, 1
0.07311, 0
0.07312, 1
0.07316, 0
0.07317, 1
0.07319, 0
0.07320, 1
0.07321, 0
0.07322, 1
0.07324, 0
0.07325, 1
0.07327, 0
0.07328, 1
0.07329, 0
0.07330, 1
0.07332, 0
0.07333, 1
0.07335, 0
0.07336, 1
0.07337, 0
0.07338, 1
0.07340, 0
0.07341, 1
0.07345, 0
0.07346, 1
0.07348, 0
0.07349, 1
0.07350, 0
0.07351, 1
0.07353, 0
0.07354, 1
0.07356, 0
0.07357, 1
0.07358, 0
0.07359, 1
0.07361, 0
0.07362, 1
0.07364, 0
0.07365, 1
0.07366, 0
0.07367, 1
0.07369, 0
0.07370, 1
0.07374, 0
0.07375, 1
0.07377, 0
0.07378, 1
0.07382, 0
0.07383, 1
0.07385, 0
0.07386, 1
0.07387, 0
0.07388, 1
0.07390, 0
0.07391, 1
0.07393, 0
0.07394, 1
0.07395, 0
0.07396, 1
0.07398, 0
0.07399, 1
0.07403, 0
0.07404, 1
0.07406, 0
0.07407, 1
0.07408, 0
0.07409, 1
0.07411, 0
0.07412, 1
0.07414, 0
0.07415, 1
0.07416, 0
0.07417, 1
0.07419, 0
0.07420, 1
0.07422, 0
0.07423, 1
0.07424, 0
0.07425, 1
0.07427, 0
0.07428, 1
0.07430, 0
0.07431, 1
0.07432, 0
0.07433, 1
0.07435, 0
0.07436, 1
0.07440, 0
0.07441, 1
0.07443, 0
0.07444, 1
0.07445, 0
0.07446, 1
0.07448, 0
0.07449, 1
0.07451, 0
0.07452, 1
0.07453, 0
0.07454, 1
0.07456, 0
0.07457, 1
0.07459, 0
0.07460, 1
0.07461, 0
0.07462, 1
0.07464, 0
0.07465, 1
0.07469, 0
0.07470, 1
0.07472, 0
0.07473, 1
0.07474, 0
0.07475, 1
0.07477, 0
0.07478, 1
0.07480, 0
0.07481, 1
0.07482, 0
0.07483, 1
0.07485, 0
0.07486, 1
0.07488, 0
0.07489, 1
0.07490, 0
0.07491, 1
0.07493, 0
0.07494, 1
0.07498, 0
0.07499, 1
0.07501, 0
0.07502, 1
0.07506, 0
0.07507, 1
0.07509, 0
0.07510, 1
0.07511, 0
0.07512, 1
0.07514, 0
0.07515, 1
0.07517, 0
0.07518, 1
0.07519, 0
0.07520, 1
0.07522, 0
0.07523, 1
0.07525, 0
0.07526, 1
0.07527, 0
0.07528, 1
0.07530, 0
0.07531, 1
0.07535, 0
0.07536, 1
0.07538, 0
0.07539, 1
0.07540, 0
0.07541, 1
0.07543, 0
0.07544, 1
0.07546, 0
0.07547, 1
0.07548, 0
0.07549, 1
0.07551, 0
0.07552, 1
0.07554, 0
0.07555, 1
0.07556, 0
0.07557, 1
0.07559, 0
0.07560, 1
0.07564, 0
0.07565, 1
0.07567, 0
0.07568, 1
0.07569, 0
0.07570, 1
0.07572, 0
0.07573, 1
0.07575, 0
0.07576, 1
0.07577, 0
0.07578, 1
0.07580, 0
0.07581, 1
0.07583, 0
0.07584, 1
0.07585, 0
0.07586, 1
0.07588, 0
0.07589, 1
0.07593, 0
0.07594, 1
0.07596, 0
0.07597, 1
0.07598, 0
0.07599, 1
0.07601, 0
0.07602, 1
0.07604, 0
0.07605, 1
0.07606, 0
0.07607, 1
0.07609, 0
0.07610, 1
0.07612, 0
0.07613, 1
0.07614, 0
0.07615, 1
0.07617, 0
0.07618, 1
0.07622, 0
0.07623, 1
0.07625, 0
0.07626, 1
0.07630, 0
0.07631, 1
0.07633, 0
0.07634, 1
0.07635, 0
0.07636, 1
0.07638, 0
0.07639, 1
0.07641, 0
0.07642, 1
0.07643, 0
0.07644, 1
0.07646, 0
0.07647, 1
0.07649, 0
0.07650, 1
0.07651, 0
0.07652, 1
0.07654, 0
0.07655, 1
0.07659, 0
0.07660, 1
0.07662, 0
0.07663, 1
0.07664, 0
0.07665, 1
0.07667, 0
0.07668, 1
0.07670, 0
0.07671, 1
0.07672, 0
0.07673, 1
0.07675, 0
0.07676, 1
0.07678, 0
0.07679, 1
0.07680, 0
0.07681, 1
0.07683, 0
0.07684, 1
0.07688, 0
0.07689, 1
0.07691, 0
0.07692, 1
0.07693, 0
0.07694, 1
0.07696, 0
0.07697, 1
0.07699, 0
0.07700, 1
0.07701, 0
0.07702, 1
0.07704, 0
0.07705, 1
0.07707, 0
0.07708, 1
0.07709, 0
0.07710, 1
0.07712, 0
0.07713, 1
0.07717, 0
0.07718, 1
0.07720, 0
0.07721, 1
0.07725, 0
0.07726, 1
0.07728, 0
0.07729, 1
0.07730, 0
0.07731, 1
0.07733, 0
0.07734, 1
0.07736, 0
0.07737, 1
0.07738, 0
0.07739, 1
0.07741, 0
0.07742, 1
0.07744, 0
0.07745, 1
0.07746, 0
0.07747, 1
0.07749, 0
0.07750, 1
0.07754, 0
0.07755, 1
0.07757, 0
0.07758, 1
0.07759, 0
0.07760, 1
0.07762, 0
0.07763, 1
0.07765, 0
0.07766, 1
0.07767, 0
0.07768, 1
0.07770, 0
0.07771, 1
0.07773, 0
0.07774, 1
0.07775, 0
0.07776, 1
0.07778, 0
0.07779, 1
0.07783, 0
0.07784, 1
0.07786, 0
0.07787, 1
0.07788, 0
0.07789, 1
0.07791, 0
0.07792, 1
0.07794, 0
0.07795, 1
0.07796, 0
0.07797, 1
0.07799, 0
0.07800, 1
0.07802, 0
0.07803, 1
0.07804, 0
0.07805, 1
0.07807, 0
0.07808, 1
0.07812, 0
0.07813, 1
0.07815, 0
0.07816, 1
0.07817, 0
0.07818, 1
0.07820, 0
0.07821, 1
0.07823, 0
0.07824, 1
0.07825, 0
0.07826, 1
0.07828, 0
0.07829, 1
0.07831, 0
0.07832, 1
0.07833, 0
0.07834, 1
0.07836, 0
0.07837, 1
0.07839, 0
0.07840, 1
0.07841, 0
0.07842, 1
0.07844, 0
0.07845, 1
0.07849, 0
0.07850, 1
0.07852, 0
0.07853, 1
0.07854, 0
0.07855, 1
0.07857, 0
0.07858, 1
0.07860, 0
0.07861, 1
0.07862, 0
0.08087, 1
0.08089, 0
0.08090, 1
0.08092, 0
0.08093, 1
0.08094, 0
0.08095, 1
0.08097, 0
0.08098, 1
0.08102, 0
0.08103, 1
0.08105, 0
0.08106, 1
0.08107, 0
0.08108, 1
0.08110, 0
0.08111, 1
0.08113, 0
0.08114, 1
0.08115, 0
0.08116, 1
0.08118, 0
0.08119, 1
0.08121, 0
0.08122, 1
0.08123, 0
0.08124, 1
0.08126, 0
0.08127, 1
0.08128, 0
0.08129, 1
0.08131, 0
0.08132, 1
0.08134, 0
0.08135, 1
0.08139, 0
0.08140, 1
0.08142, 0
0.08143, 1
0.08144, 0
0.17744, 1
0.17745, 0
0.17746, 1
0.17748, 0
0.17749, 1
0.17753, 0
0.17754, 1
0.17756, 0
0.17757, 1
0.17761, 0
0.17762, 1
0.17764, 0
0.17765, 1
0.17766, 0
0.17767, 1
0.17769, 0
0.17770, 1
0.17772, 0
0.17773, 1
0.17774, 0
0.17775, 1
0.17777, 0
0.17778, 1
0.17782, 0
0.17783, 1
0.17785, 0
0.17786, 1
0.17790, 0
0.17791, 1
0.17793, 0
0.17794, 1
0.17795, 0
0.17796, 1
0.17798, 0
0.17799, 1
0.17801, 0
0.17802, 1
0.17803, 0
0.17804, 1
0.17806, 0
0.17807, 1
0.17811, 0
0.17812, 1
0.17814, 0
0.17815, 1
0.17819, 0
0.17820, 1
0.17822, 0
0.17823, 1
0.17824, 0
0.17825, 1
0.17827, 0
0.17828, 1
0.17830, 0
0.17831, 1
0.17832, 0
0.17833, 1
0.17835, 0
0.17836, 1
0.17840, 0
0.17841, 1
0.17843, 0
0.17844, 1
0.17845, 0
0.17846, 1
0.17848, 0
0.17849, 1
0.17851, 0
0.17852, 1
0.17853, 0
0.17854, 1
0.17856, 0
0.17857, 1
0.17859, 0
0.17860, 1
0.17861, 0
0.17862, 1
0.17864, 0
0.17865, 1
0.17869, 0
0.17870, 1
0.17872, 0
0.17873, 1
0.17874, 0
0.17875, 1
0.17877, 0
0.17878, 1
0.17880, 0
0.17881, 1
0.17882, 0
0.17883, 1
0.17885, 0
0.17886, 1
0.17888, 0
0.17889, 1
0.17890, 0
0.17891, 1
0.17893, 0
0.17894, 1
0.17898, 0
0.17899, 1
0.17901, 0
0.17902, 1
0.17906, 0
0.17907, 1
0.17909, 0
0.17910, 1
0.17911, 0
0.17912, 1
0.17914, 0
0.17915, 1
0.17917, 0
0.17918, 1
0.17919, 0
0.17920, 1
0.17922, 0
0.17923, 1
0.17927, 0
0.17928, 1
0.17930, 0
0.17931, 1
0.17932, 0
0.17933, 1
0.17935, 0
0.17936, 1
0.17938, 0
0.17939, 1
0.17940, 0
0.17941, 1
0.17943, 0
0.17944, 1
0.17946, 0
0.17947, 1
0.17948, 0
0.17949, 1
0.17951, 0
0.17952, 1
0.17956, 0
0.17957, 1
0.17959, 0
0.17960, 1
0.17964, 0
0.17965, 1
0.17967, 0
0.17968, 1
0.17969, 0
0.17970, 1
0.17972, 0
0.17973, 1
0.17975, 0
0.17976, 1
0.17977, 0
0.17978, 1
0.17980, 0
0.17981, 1
0.17985, 0
0.17986, 1
0.17988, 0
0.17989, 1
0.17990, 0
0.17991, 1
0.17993, 0
0.17994, 1
0.17996, 0
0.17997, 1
0.17998, 0
0.17999, 1
0.18001, 0
0.18002, 1
0.18004, 0
0.18005, 1
0.18006, 0
0.18007, 1
0.18009, 0
0.18010, 1
0.18012, 0
0.18013, 1
0.18014, 0
0.18015, 1
0.18017, 0
0.18018, 1
0.18022, 0
0.18023, 1
0.18025, 0
0.18026, 1
0.18027, 0
0.18028, 1
0.18030, 0
0.18031, 1
0.18033, 0
0.18034, 1
0.18035, 0
0.18036, 1
0.18038, 0
0.18039, 1
0.18041, 0
0.18042, 1
0.18043, 0
0.18044, 1
0.18046, 0
0.18047, 1
0.18051, 0
0.18052, 1
0.18054, 0
0.18055, 1
0.18056, 0
0.18057, 1
0.18059, 0
0.18060, 1
0.18062, 0
0.18063, 1
0.18064, 0
0.18065, 1
0.18067, 0
0.18068, 1
0.18070, 0
0.18071, 1
0.18072, 0
0.18073, 1
0.18075, 0
0.18076, 1
0.18080, 0
0.18081, 1
0.18083, 0
0.18084, 1
0.18085, 0
0.18086, 1
0.18088, 0
0.18089, 1
0.18091, 0
0.18092, 1
0.18093, 0
0.18094, 1
0.18096, 0
0.18097, 1
0.18099, 0
0.18100, 1
0.18101, 0
0.18102, 1
0.18104, 0
0.18105, 1
0.18109, 0
0.18110, 1
0.18112, 0
0.18113, 1
0.18114, 0
0.18115, 1
0.18117, 0
0.18118, 1
0.18120, 0
0.18121, 1
0.18122, 0
0.18123, 1
0.18125, 0
0.18126, 1
0.18128, 0
0.18129, 1
0.18130, 0
0.18131, 1
0.18133, 0
0.18134, 1
0.18138, 0
0.18139, 1
0.18141, 0
0.18142, 1
0.18143, 0
0.18144, 1
0.18146, 0
0.18147, 1
0.18149, 0
0.18150, 1
0.18151, 0
0.18152, 1
0.18154, 0
0.18155, 1
0.18157, 0
0.18158, 1
0.18159, 0
0.18160, 1
0.18162, 0
0.18163, 1
0.18165, 0
0.18166, 1
0.18167, 0
0.18168, 1
0.18170, 0
0.18171, 1
0.18175, 0
0.18176, 1
0.18178, 0
0.18179, 1
0.18180, 0
0.18181, 1
0.18183, 0
0.18184, 1
0.18186, 0
0.18187, 1
0.18188, 0
0.18189, 1
0.18191, 0
0.18192, 1
0.18194, 0
0.18195, 1
0.18196, 0
0.18197, 1
0.18199, 0
0.18200, 1
0.18204, 0
0.18205, 1
0.18207, 0
0.18208, 1
0.18209, 0
0.18210, 1
0.18212, 0
0.18213, 1
0.18215, 0
0.18216, 1
0.18217, 0
0.18218, 1
0.18220, 0
0.18221, 1
0.18223, 0
0.18224, 1
0.18225, 0
0.18226, 1
0.18228, 0
0.18229, 1
0.18233, 0
0.18234, 1
0.18236, 0
0.18237, 1
0.18238, 0
0.18239, 1
0.18241, 0
0.18242, 1
0.18244, 0
0.18245, 1
0.18246, 0
0.18247, 1
0.18249, 0
0.18250, 1
0.18252, 0
0.18253, 1
0.18254, 0
0.18255, 1
0.18257, 0
0.18258, 1
0.18262, 0
0.18263, 1
0.18265, 0
0.18266, 1
0.18267, 0
0.18268, 1
0.18270, 0
0.18271, 1
